node1,node2,arrow,label
occurs as thin interlayers in some calcite and gypsum speleothems,cristobalite,->,composed
occurs as thin interlayers in some calcite and gypsum speleothems,opal,->,composed
opal,D.1 Abiotic,->,
static cave,A.2 Underground landform,->,
deep hole with no air drainage out of the bottom,static cave,->,has form
"it traps cold , dense air and excludes warmer air",static cave,->,has function
primary porosity,D.3 Property,->,
Shaft-like depressions deeply flooded by seawater,blue holes,->,has form
in low-lying coral islands,blue holes,->,is located
suffosion,B.2 Loss,->,
by a combination of physical downwashing and chemical solution,suffosion,->,has cause
in the karstified bedrock,suffosion,->,is located
carbonatites,D.1 Abiotic,->,
pit caves,A.2 Underground landform,->,
1 – 2 m in diameter and up to 15 m deep,pit caves,->,has size
mogotes,A.1 Surface landform,->,
isolated,mogotes,->,has form
in the northern section,mogotes,->,is located
rise from the blanket sands,mogotes,->,composed
extreme form of karst,fenglin,->,has form
"develops where dissolution rates , tectonic uplift , and alluviation maintain a critical balance",fenglin,->,has cause
solution dolines,A.1 Surface landform,->,
10 – 100 m in diameter and up to 30 m in depth,solution dolines,->,has size
vertical shafts,A.2 Underground landform,->,
truncated by glaciation,vertical shafts,->,has cause
where streams sink underground,sinkhole,->,has function
in bouldery deposits such as glacial drift overlying limestone,shakehole,->,composed
collapse,B.1 Movement,->,
rapid downward,collapse,->,has function
fovals,D.1 Abiotic,->,
"can be found in different positions in the caves , on the floor , or on the rocky walls",fovals,->,is located
kettle holes,A.1 Surface landform,->,
assembled into extensive debris pseudokarst hillocks,kettle holes,->,has form
developing closed depressions,kettle holes,->,has cause
where buried ice melts in situ,kettle holes,->,is located
develops in debris,kettle holes,->,composed
resurgences,A.3 Hydrological form,->,
reflect the changing water quality of the sinking streams,resurgences,->,has cause
in allogenic karst aquifers,resurgences,->,is located
Autogenic karst aquifers feed,exsurgences,->,has cause
karstic terrain,polje,->,composed
turm,A.1 Surface landform,->,
tower,A.1 Surface landform,->,
pepino,A.1 Surface landform,->,
piton,A.1 Surface landform,->,
cone,A.1 Surface landform,->,
hum,A.1 Surface landform,->,
breccia pipes,A.1 Surface landform,->,
created by progressive stoping above sites of interstratal dissolution,breccia pipes,->,has cause
gypsum karst,breccia pipes,->,composed
bubbles,A.1 Surface landform,->,
round or elliptical in plan,bubbles,->,has form
round or elliptical in plan,gypsum tumuli,->,has form
round or elliptical in plan,tents,->,has form
gypsum tumuli,A.1 Surface landform,->,
tents,A.1 Surface landform,->,
rillensteine,D.1 Abiotic,->,
solution runnels,A.1 Surface landform,->,
where sheetflow or wash on a slope breaks down into linear threads,solution runnels,->,has cause
karst in humid areas,solution dolines,->,is located
in the humid tropics and subtropics,pinnacle karst,->,is located
small-scale,pinnacle karst,->,has size
preserving important archaeological evidence as well as sediments and deposits that provide clues to past environments,caves,->,has function
water-filled vertical openings,blue holes,->,has form
in the carbonate rock of the islands,blue holes,->,is located
"composite result of carbonate deposition and dissolution cycles , which have been controlled by glacial sea-level fluctuations",blue holes,->,has cause
extend below sea-level for a majority of their depth,blue hole,->,is located
carbon dioxide,D.1 Abiotic,->,
diagenesis,B.4 Transformation,->,
product of diagenesis,dolostone,->,has cause
